ADANA 37 35,321333 23
ADIYAMAN 37,764751 38,278561 669
AFYONKARAHISAR 38,750714 30,556692 1013
AĞRI 39,626922 43,021596 1640
AKSARAY 38,36869 34,03698 900
AMASYA 40,64991 35,83532 392
ANKARA 39,92077 32,85411 870
ANTALYA 36,88414 30,70563 43
ARDAHAN 41,110481 42,702171 2200
ARTVIN 41,18277 41,818292 597
AYDIN 37,856041 27,841631 70
BALIKESIR 39,648369 27,88261 101
BARTIN 41,581051 32,460979 25
BATMAN 37,881168 41,13509 550
BAYBURT 40,255169 40,22488 1550
BILECIK 40,056656 30,066524 526
BINGÖL 39,062635 40,76961 1177
BITLIS 38,393799 42,12318 1545
BOLU 40,575977 31,578809 732
BURDUR 37,461267 30,066524 1025
BURSA 40,266864 29,063448 100
ÇANAKKALE 40,155312 26,41416 3
ÇANKIRI 40,601343 33,613421 730
ÇORUM 40,550556 34,955556 798
DENIZLI 37,77652 29,08639 450
DIYARBAKIR 37,91441 40,230629 677
DÜZCE 40,843849 31,15654 160
EDIRNE 41,681808 26,562269 48
ELAZIĞ 38,680969 39,226398 1015
ERZINCAN 39,75 39,5 1214
ERZURUM 39,9 41,27 1893
ESKIŞEHIR 39,776667 30,520556 732
GAZIANTEP 37,06622 37,38332 840
GIRESUN 40,912811 38,38953 84
GÜMÜŞHANE 40,438588 39,508556 1210
HAKKARI 37,583333 43,733333 1720
HATAY 36,401849 36,34981 85
IĞDIR 39,887984 44,004836 858
ISTANBUL 41,00527 28,97696 30
ISPARTA 37,764771 30,556561 1043
IZMIR 38,41885 27,12872 25
KAHRAMANMARAŞ 37,585831 36,937149 568
KARABÜK 41,2061 32,62035 278
KARAMAN 37,17593 33,228748 1250
KARS 40,616667 43,1 1750
KASTAMONU 41,38871 33,78273 800
KAYSERI 38,73122 35,478729 1071
KIRIKKALE 39,846821 33,515251 700
KIRKLARELI 41,733333 27,216667 203
KIRŞEHIR 39,14249 34,17091 985
KILIS 36,718399 37,12122 680
KOCAELI 40,85327 29,88152 76
KONYA 37,866667 32,483333 1026
KÜTAHYA 39,416667 29,983333 969
MALATYA 38,35519 38,30946 977
MANISA 38,619099 27,428921 42
MARDIN 37,321163 40,724477 1150
MERSIN 36,8 34,633333 6
MUĞLA 37,215278 28,363611 646
MUŞ 38,946189 41,753893 1300
NEVŞEHIR 38,69394 34,685651 1250
NIĞDE 37,966667 34,683333 1208
ORDU 40,983879 37,876411 10
OSMANIYE 37,213026 36,176261 120
RIZE 41,02005 40,523449 4
SAKARYA 40,693997 30,435763 31
SAMSUN 41,292782 36,33128 44
SIIRT 37,933333 41,95 895
SINOP 42,02314 35,153069 32
SIVAS 39,747662 37,017879 1285
ŞANLIURFA 37,159149 38,796909 547
ŞIRNAK 37,418748 42,491834 1350
TEKIRDAĞ 40,983333 27,516667 3
TOKAT 40,316667 36,55 623
TRABZON 41,00145 39,7178 37
TUNCELI 39,307355 39,438778 914
UŞAK 38,682301 29,40819 921
VAN 38,48914 43,40889 1661
YALOVA 40,65 29,266667 2
YOZGAT 39,818081 34,81469 1418
ZONGULDAK 41,456409 31,798731 136
